cfid,f,latent_elems,model,nfe,params,sample_s,seed,sw2,train_s
210.10066748926351,1,1024,pixel DDPM,10,485313,10.260921958004474,0,0.3262612521648407,676.2442082089983
114.74873315923202,1,1024,pixel DDPM,25,485313,26.25863191699318,0,0.2564381957054138,676.2442082089983
83.7131357123202,1,1024,pixel DDPM,50,485313,52.1443736670044,0,0.23775136470794678,676.2442082089983
102.87479876255708,2,1024,LDM f=2,10,487044,3.7537020000017947,0,0.12473247200250626,232.59874962498725
67.26511033121483,2,1024,LDM f=2,25,487044,9.632554416995845,0,0.10455486178398132,232.59874962498725
60.31031218877433,2,1024,LDM f=2,50,487044,18.346820499995374,0,0.11106961965560913,232.59874962498725
25.268464151143377,4,256,LDM f=4,10,487044,2.197411250002915,0,0.09634076058864594,127.34690791700268
15.375072663436299,4,256,LDM f=4,25,487044,5.162938499997836,0,0.0821322351694107,127.34690791700268
13.589403062477004,4,256,LDM f=4,50,487044,11.00206949999847,0,0.0802258774638176,127.34690791700268
18.632633572156948,8,64,LDM f=8,10,117028,0.7748234580067219,0,0.10812170803546906,44.21167391700146
17.09176197782429,8,64,LDM f=8,25,117028,1.4516440839943243,0,0.09835108369588852,44.21167391700146
16.539158007795834,8,64,LDM f=8,50,117028,2.5259909580054227,0,0.10084045678377151,44.21167391700146
85.57246671102075,1,1024,pixel DDPM,10,485313,10.257220917002996,1,0.15231464803218842,669.8967598750023
44.51789163125426,1,1024,pixel DDPM,25,485313,25.930382499995176,1,0.12748654186725616,669.8967598750023
36.92207756637373,1,1024,pixel DDPM,50,485313,50.906657708008424,1,0.1366475373506546,669.8967598750023
46.737443736189334,2,1024,LDM f=2,10,487044,4.088145834000898,1,0.17024514079093933,232.31964229099685
41.10256508834806,2,1024,LDM f=2,25,487044,9.858829207994859,1,0.1385134905576706,232.31964229099685
37.15818084112627,2,1024,LDM f=2,50,487044,18.56712583299668,1,0.11018329858779907,232.31964229099685
25.310878354343345,4,256,LDM f=4,10,487044,2.1240546659973916,1,0.12553708255290985,127.578392291005
17.14154982444913,4,256,LDM f=4,25,487044,5.803866624992224,1,0.11150035262107849,127.578392291005
15.985786691070302,4,256,LDM f=4,50,487044,10.76630220800871,1,0.10602725297212601,127.578392291005
32.82417485291799,8,64,LDM f=8,10,117028,0.6684541249996983,1,0.1458989381790161,43.75745154100878
26.148202324652857,8,64,LDM f=8,25,117028,1.2874404589965707,1,0.12384863942861557,43.75745154100878
21.895507465269958,8,64,LDM f=8,50,117028,2.525147916006972,1,0.11505785584449768,43.75745154100878
192.8997597092112,1,1024,pixel DDPM,10,485313,10.224747625004966,2,0.20656317472457886,670.9345851670078
113.6672484625852,1,1024,pixel DDPM,25,485313,26.131971750000957,2,0.19220617413520813,670.9345851670078
84.45869123243583,1,1024,pixel DDPM,50,485313,51.68962449999526,2,0.17594558000564575,670.9345851670078
62.06369089073863,2,1024,LDM f=2,10,487044,3.7811314170103287,2,0.1338515728712082,232.73714124999242
50.20618728576943,2,1024,LDM f=2,25,487044,9.64348870899994,2,0.11245384067296982,232.73714124999242
44.286253192085155,2,1024,LDM f=2,50,487044,19.25941466698714,2,0.0979786142706871,232.73714124999242
30.10951883082302,4,256,LDM f=4,10,487044,2.1925612919876585,2,0.11203545331954956,127.68765591600095
13.065327070549216,4,256,LDM f=4,25,487044,5.164355333006824,2,0.07922129333019257,127.68765591600095
10.058195180882734,4,256,LDM f=4,50,487044,10.348786083006416,2,0.06886856257915497,127.68765591600095
16.97495992096583,8,64,LDM f=8,10,117028,0.6742945830046665,2,0.11401810497045517,43.69917366599839
15.212805397549602,8,64,LDM f=8,25,117028,1.453555750005762,2,0.09227564185857773,43.69917366599839
14.05435932358185,8,64,LDM f=8,50,117028,2.8811237500049174,2,0.08327068388462067,43.69917366599839
