compression,f,latent_shape,latent_std,mse,psnr,rfid,seed,wall_s
1.0,2,"(4, 16, 16)",1.6086173057556152,0.0006227156263776124,38.07770252227783,0.03285564872618352,0,193.50498808300472
4.0,4,"(4, 8, 8)",1.3691039085388184,0.0026843163650482893,31.732263565063477,0.033515945558974636,0,245.2499242920021
16.0,8,"(4, 4, 4)",1.4266984462738037,0.008802357129752636,26.57460927963257,0.17244291145101442,0,297.43245637499786
1.0,2,"(4, 16, 16)",1.384773850440979,0.0007110223523341119,37.50176668167114,0.020680470722879818,1,193.29392120799457
4.0,4,"(4, 8, 8)",1.7161402702331543,0.0028075948357582092,31.537256240844727,0.018264247426714064,1,246.70015891699586
16.0,8,"(4, 4, 4)",1.3933881521224976,0.008695869706571102,26.627469062805176,0.07805010352984709,1,299.61320520800655
1.0,2,"(4, 16, 16)",1.3712249994277954,0.0006008078344166279,38.2332444190979,0.02320777945323016,2,192.42653112499102
4.0,4,"(4, 8, 8)",1.9727197885513306,0.002736808732151985,31.648154258728027,0.10712481251323425,2,245.39886633299466
16.0,8,"(4, 4, 4)",1.4443868398666382,0.008518455550074577,26.71699047088623,0.13928656770417547,2,298.7833782499947
